date,imgpath,avgTemp,sumRain,avgWind
2024-03-17,img/183_ki_4.jpg,11.5,3.0,2.9
2024-03-17,img/183_ki_4.jpg,10.3,0.0,2.8
2024-03-17,img/haveyun.ootd_5.jpg,8.8,0.1,3.7
2024-03-17,img/haveyun.ootd_5.jpg,14.8,0.0,4.0
2024-03-17,img/haveyun.ootd_5.jpg,13.6,0.0,3.7
2024-03-17,img/haveyun.ootd_5.jpg,7.7,0.1,5.0
2024-03-17,img/haveyun.ootd_5.jpg,9.8,0.0,1.3
2024-03-17,img/haveyun.ootd_5.jpg,9.7,0.0,3.0
2024-03-17,img/haveyun.ootd_5.jpg,13.1,0.0,2.9
2024-03-17,img/haveyun.ootd_5.jpg,8.5,0.5,3.0
2024-03-17,img/haveyun.ootd_5.jpg,9.7,0.0,2.2
2024-03-17,img/haveyun.ootd_5.jpg,8.4,0.2,2.1
2024-03-17,img/haveyun.ootd_5.jpg,9.5,0.0,2.3
2024-03-17,img/haveyun.ootd_5.jpg,8.0,0.0,6.6
2024-03-17,img/haveyun.ootd_5.jpg,12.0,0.0,3.0
2024-03-17,img/haveyun.ootd_5.jpg,15.2,0.0,2.0
2024-03-17,img/haveyun.ootd_5.jpg,11.5,3.0,2.9
2024-03-17,img/haveyun.ootd_5.jpg,10.3,0.0,2.8
2024-03-17,img/haveyun.ootd_6.jpg,8.8,0.1,3.7
2024-03-17,img/haveyun.ootd_6.jpg,14.8,0.0,4.0
2024-03-17,img/haveyun.ootd_6.jpg,13.6,0.0,3.7
2024-03-17,img/haveyun.ootd_6.jpg,7.7,0.1,5.0
2024-03-17,img/haveyun.ootd_6.jpg,9.8,0.0,1.3
2024-03-17,img/haveyun.ootd_6.jpg,9.7,0.0,3.0
2024-03-17,img/haveyun.ootd_6.jpg,13.1,0.0,2.9
2024-03-17,img/haveyun.ootd_6.jpg,8.5,0.5,3.0
2024-03-17,img/haveyun.ootd_6.jpg,9.7,0.0,2.2
2024-03-17,img/haveyun.ootd_6.jpg,8.4,0.2,2.1
2024-03-17,img/haveyun.ootd_6.jpg,9.5,0.0,2.3
2024-03-17,img/haveyun.ootd_6.jpg,8.0,0.0,6.6
2024-03-17,img/haveyun.ootd_6.jpg,12.0,0.0,3.0
2024-03-17,img/haveyun.ootd_6.jpg,15.2,0.0,2.0
2024-03-17,img/haveyun.ootd_6.jpg,11.5,3.0,2.9
2024-03-17,img/haveyun.ootd_6.jpg,10.3,0.0,2.8
2024-03-17,img/ouneul_look_7.jpg,8.8,0.1,3.7
2024-03-17,img/ouneul_look_7.jpg,14.8,0.0,4.0
2024-03-17,img/ouneul_look_7.jpg,13.6,0.0,3.7
2024-03-17,img/ouneul_look_7.jpg,7.7,0.1,5.0
2024-03-17,img/ouneul_look_7.jpg,9.8,0.0,1.3
2024-03-17,img/ouneul_look_7.jpg,9.7,0.0,3.0
2024-03-17,img/ouneul_look_7.jpg,13.1,0.0,2.9
2024-03-17,img/ouneul_look_7.jpg,8.5,0.5,3.0
2024-03-17,img/ouneul_look_7.jpg,9.7,0.0,2.2
2024-03-17,img/ouneul_look_7.jpg,8.4,0.2,2.1
2024-03-17,img/ouneul_look_7.jpg,9.5,0.0,2.3
2024-03-17,img/ouneul_look_7.jpg,8.0,0.0,6.6
2024-03-17,img/ouneul_look_7.jpg,12.0,0.0,3.0
2024-03-17,img/ouneul_look_7.jpg,15.2,0.0,2.0
2024-03-17,img/ouneul_look_7.jpg,11.5,3.0,2.9
2024-03-17,img/ouneul_look_7.jpg,10.3,0.0,2.8
2024-03-17,img/ouneul_look_8.jpg,8.8,0.1,3.7
2024-03-17,img/ouneul_look_8.jpg,14.8,0.0,4.0
2024-03-17,img/ouneul_look_8.jpg,13.6,0.0,3.7
2024-03-17,img/ouneul_look_8.jpg,7.7,0.1,5.0
2024-03-17,img/ouneul_look_8.jpg,9.8,0.0,1.3
2024-03-17,img/ouneul_look_8.jpg,9.7,0.0,3.0
2024-03-17,img/ouneul_look_8.jpg,13.1,0.0,2.9
2024-03-17,img/ouneul_look_8.jpg,8.5,0.5,3.0
2024-03-17,img/ouneul_look_8.jpg,9.7,0.0,2.2
2024-03-17,img/ouneul_look_8.jpg,8.4,0.2,2.1
2024-03-17,img/ouneul_look_8.jpg,9.5,0.0,2.3
2024-03-17,img/ouneul_look_8.jpg,8.0,0.0,6.6
2024-03-17,img/ouneul_look_8.jpg,12.0,0.0,3.0
2024-03-17,img/ouneul_look_8.jpg,15.2,0.0,2.0
2024-03-17,img/ouneul_look_8.jpg,11.5,3.0,2.9
2024-03-17,img/ouneul_look_8.jpg,10.3,0.0,2.8
2024-03-16,img/183_ki_5.jpg,10.9,0.0,2.1
2024-03-16,img/183_ki_5.jpg,14.8,0.0,3.5
2024-03-16,img/183_ki_5.jpg,14.1,0.0,1.7
2024-03-16,img/183_ki_5.jpg,9.1,0.0,1.9
2024-03-16,img/183_ki_5.jpg,11.4,0.2,1.4
2024-03-16,img/183_ki_5.jpg,11.4,0.0,1.6
2024-03-16,img/183_ki_5.jpg,13.9,0.0,2.3
2024-03-16,img/183_ki_5.jpg,9.5,0.0,1.5
2024-03-16,img/183_ki_5.jpg,12.2,0.0,1.3
2024-03-16,img/183_ki_5.jpg,10.2,0.0,1.0
2024-03-16,img/183_ki_5.jpg,11.2,0.0,1.6
2024-03-16,img/183_ki_5.jpg,10.4,0.0,1.8
2024-03-16,img/183_ki_5.jpg,11.1,0.0,1.4
2024-03-16,img/183_ki_5.jpg,13.8,0.0,2.0
